ar,smasvaedi,tekjutiund,fjoldi
2008,1801,5,46
2008,1801,6,60
2008,1801,7,61
2008,1801,8,63
2008,1801,9,81
2008,1801,10,115
2008,1802,1,45
2008,1802,2,44
2008,1802,3,27
2008,1802,4,29
2008,1802,5,38
2008,1802,6,44
2008,1802,7,34
2008,1802,8,38
2008,1802,9,58
2008,1802,10,118
2008,1803,1,10
2008,1803,2,10
2008,1803,3,6
2008,1803,4,3
2008,1803,5,5
2008,1803,6,13
2008,1803,7,10
2008,1803,8,9
2008,1803,9,14
2008,1803,10,24
2008,1804,1,69
2008,1804,2,59
2008,1804,3,47
2008,1804,4,49
2008,1804,5,41
2008,1804,6,58
2008,1804,7,54
2008,1804,8,55
2008,1804,9,65
2008,1804,10,134
2008,1805,1,45
2008,1805,2,43
2008,1805,3,46
2008,1805,4,65
2008,1805,5,52
2008,1805,6,55
2008,1805,7,54
2008,1805,8,76
2008,1805,9,69
2008,1805,10,84
2008,1806,1,32
2008,1806,2,33
2008,1806,3,41
2008,1806,4,41
2008,1806,5,43
2008,1806,6,35
2008,1806,7,42
2008,1806,8,34
2008,1806,9,57
2008,1806,10,36
2008,1807,1,91
2008,1807,2,79
2008,1807,3,59
2008,1807,4,55
2008,1807,5,67
2008,1807,6,83
2008,1807,7,79
2008,1807,8,90
2008,1807,9,111
2008,1807,10,132
2008,1808,1,104
2008,1808,2,90
2008,1808,3,80
2008,1808,4,87
2008,1808,5,102
2008,1808,6,102
2008,1808,7,118
2008,1808,8,124
2008,1808,9,127
2008,1808,10,211
2008,1809,1,59
2008,1809,2,44
2008,1809,3,37
2008,1809,4,31
2008,1809,5,55
2008,1809,6,47
2008,1809,7,55
2008,1809,8,53
2008,1809,9,66
2008,1809,10,122
2008,1810,1,50
2008,1810,2,45
2008,1810,3,36
2008,1810,4,41
2008,1810,5,38
2008,1810,6,29
2008,1810,7,32
2008,1810,8,43
2008,1810,9,50
2008,1810,10,78
2008,1811,1,79
2008,1811,2,48
2008,1811,3,40
2008,1811,4,41
2008,1811,5,54
2008,1811,6,63
2008,1811,7,47
2008,1811,8,70
2008,1811,9,81
2008,1811,10,124
2008,1901,1,112
2008,1901,2,90
2008,1901,3,102
2008,1901,4,92
2008,1901,5,93
2008,1901,6,111
2008,1901,7,111
2008,1901,8,98
2008,1901,9,84
2008,1901,10,90
2008,1902,1,43
2008,1902,2,27
2008,1902,3,27
2008,1902,4,27
2008,1902,5,25
2008,1902,6,46
2008,1902,7,31
2008,1902,8,30
2008,1902,9,46
2008,1902,10,31
2008,1903,1,19
2008,1903,2,20
2008,1903,3,20
2008,1903,4,19
2008,1903,5,23
2008,1903,6,22
2008,1903,7,20
2008,1903,8,20
2008,1903,9,24
2008,1903,10,26
2008,1904,1,75
2008,1904,2,82
2008,1904,3,73
2008,1904,4,69
2008,1904,5,79
2008,1904,6,99
2008,1904,7,83
2008,1904,8,80
2008,1904,9,87
2008,1904,10,112
2008,2001,1,81
2008,2001,2,67
2008,2001,3,65
2008,2001,4,70
2008,2001,5,68
2008,2001,6,81
2008,2001,7,81
2008,2001,8,102
2008,2001,9,96
2008,2001,10,110
2008,2002,1,38
2008,2002,2,30
2008,2002,3,40
2008,2002,4,40
2008,2002,5,38
2008,2002,6,35
2008,2002,7,34
2008,2002,8,34
2008,2002,9,19
2008,2002,10,18
2008,2003,1,49
2008,2003,2,49
2008,2003,3,38
2008,2003,4,49
2008,2003,5,49
2008,2003,6,55
2008,2003,7,57
2008,2003,8,41
2008,2003,9,48
2008,2003,10,46
2008,2004,1,113
2008,2004,2,110
2008,2004,3,83
2008,2004,4,100
2008,2004,5,83
2008,2004,6,125
2008,2004,7,132
2008,2004,8,134
2008,2004,9,146
2008,2004,10,193
2008,2005,1,82
2008,2005,2,83
2008,2005,3,57
2008,2005,4,94
2008,2005,5,86
2008,2005,6,109
2008,2005,7,97
2008,2005,8,111
2008,2005,9,103
2008,2005,10,97
2008,2006,1,91
2008,2006,2,125
2008,2006,3,118
2008,2006,4,100
2008,2006,5,135
2008,2006,6,115
2008,2006,7,106
2008,2006,8,138
2008,2006,9,109
2008,2006,10,118
2008,2007,1,99
2008,2007,2,108
2008,2007,3,99
2008,2007,4,119
2008,2007,5,105
2008,2007,6,145
2008,2007,7,104
2008,2007,8,108
2008,2007,9,89
2008,2007,10,94
2008,2008,1,36
2008,2008,2,58
2008,2008,3,53
2008,2008,4,57
2008,2008,5,41
2008,2008,6,59
2008,2008,7,46
2008,2008,8,42
2008,2008,9,48
2008,2008,10,44
2008,2101,1,122
2008,2101,2,90
2008,2101,3,71
2008,2101,4,77
2008,2101,5,78
2008,2101,6,88
2008,2101,7,117
2008,2101,8,112
2008,2101,9,136
2008,2101,10,135
2008,2102,1,40
2008,2102,2,31
2008,2102,3,26
2008,2102,4,25
2008,2102,5,24
2008,2102,6,34
2008,2102,7,42
2008,2102,8,43
2008,2102,9,57
2008,2102,10,55
