ar,smasvaedi,fjoldi
2012,1006,796
2012,1101,412
2012,1102,1349
2012,1103,1212
2012,1104,981
2012,1201,819
2012,1202,1277
2012,1203,748
2012,1204,951
2012,1205,608
2012,1206,703
2012,1301,840
2012,1302,1023
2012,1303,661
2012,1304,178
2012,1305,350
2012,1401,659
2012,1402,318
2012,1403,484
2012,1404,467
2012,1501,930
2012,1502,820
2012,1503,1002
2012,1504,847
2012,1601,507
2012,1602,1027
2012,1603,1427
2012,1701,498
2012,1702,494
2012,1703,517
2012,1704,760
2012,1705,947
2012,1706,886
2012,1801,631
2012,1802,487
2012,1803,83
2012,1804,626
2012,1805,680
2012,1806,381
2012,1807,743
2012,1808,1005
2012,1809,693
2012,1810,389
2012,1811,781
2012,1901,863
2012,1902,315
2012,1903,267
2012,1904,730
2012,2001,789
2012,2002,267
2012,2003,480
2012,2004,1106
2012,2005,861
2012,2006,1049
2012,2007,929
2012,2008,403
2012,2101,928
2012,2102,340
2012,2103,604
2012,2104,897
2012,2105,488
2012,2106,863
2012,2201,819
2012,2202,415
2012,2203,331
2012,2204,695
2012,2205,658
2012,2301,814
2012,2302,493
2012,2303,814
2012,2401,865
2012,2402,969
2012,2403,990
2012,2404,694
2012,2405,244
2012,2406,564
2012,2407,144
2012,2501,1055
2012,2502,379
2012,2503,753
2012,2504,813
2012,2601,944
2012,2602,1233
2012,2701,543
2012,2702,623
2012,2703,986
2012,2704,668
2012,2705,668
2012,2801,815
2012,2802,590
2012,2803,944
2012,2804,922
2012,2901,1050
2012,2902,512
2012,2903,606
2012,2904,1270
2012,3001,195
2012,3002,199
2012,3003,633
2012,3004,479
2012,3005,521
2012,3006,464
2012,3101,933
2012,3102,370
2012,3103,730
2012,3104,649
2012,3105,422
2012,3201,439
2012,3202,719
2012,3203,652
2012,3204,1061
2012,3205,324
2012,3301,647
2012,3302,915
2012,3303,635
2012,3304,1007
2012,3305,1071
2012,3401,1028
2012,3402,520
2012,3403,1424
2012,3404,485
2012,3501,467
2012,3502,791
2012,3503,631
2012,3504,1322
2012,3601,948
2012,3602,946
2012,3603,1051
2012,3701,580
2012,3702,763
2012,3703,776
2012,3704,506
2012,3801,463
2012,3802,407
2012,3803,615
2012,3804,838
2012,3901,865
2012,3902,803
2012,3903,1047
2012,3904,806
2012,4001,591
2012,4002,1095
2012,4003,541
2012,4101,736
2012,4102,1399
2012,4103,570
2012,4201,838
2012,4202,532
2012,4203,622
2012,4204,553
2013,0101,709
2013,0102,524
2013,0103,640
2013,0104,500
2013,0201,473
2013,0202,756
2013,0203,762
2013,0204,678
2013,0205,600
2013,0206,830
2013,0207,429
2013,0208,695
2013,0301,1025
2013,0302,1197
2013,0303,696
2013,0304,964
2013,0401,1118
2013,0402,1099
2013,0403,592
2013,0404,1034
2013,0405,882
2013,0501,715
2013,0502,727
2013,0503,642
2013,0504,584
2013,0601,1090
2013,0602,824
2013,0603,386
2013,0604,692
2013,0605,515
2013,0606,722
2013,0701,722
2013,0702,610
2013,0703,685
2013,0704,949
2013,0705,921
2013,0706,1295
2013,0707,554
2013,0708,888
2013,0801,679
2013,0802,565
2013,0803,977
2013,0804,1196
2013,0805,721
2013,0806,904
2013,0807,722
2013,0901,1105
2013,0902,681
2013,0903,847
2013,0904,841
2013,0905,507
2013,1001,382
2013,1002,859
2013,1003,1253
2013,1004,1012
2013,1005,846
2013,1006,852
2013,1101,407
2013,1102,1376
2013,1103,1200
2013,1104,978
2013,1201,816
2013,1202,1290
2013,1203,755
2013,1204,971
2013,1205,629
2013,1206,737
2013,1301,870
2013,1302,1039
2013,1303,707
2013,1304,239
2013,1305,366
2013,1401,723
2013,1402,354
2013,1403,480
2013,1404,494
2013,1501,910
2013,1502,861
2013,1503,1001
2013,1504,845
2013,1601,604
2013,1602,1047
2013,1603,1441
2013,1701,577
2013,1702,505
2013,1703,532
2013,1704,746
2013,1705,949
2013,1706,930
2013,1801,644
2013,1802,522
2013,1803,90
2013,1804,663
2013,1805,716
2013,1806,400
2013,1807,755
2013,1808,1029
2013,1809,728
2013,1810,393
2013,1811,810
2013,1901,866
2013,1902,313
2013,1903,283
2013,1904,722
2013,2001,797
2013,2002,286
2013,2003,554
2013,2004,1102
2013,2005,859
2013,2006,1080
2013,2007,941
2013,2008,438
2013,2101,929
2013,2102,340
2013,2103,644
2013,2104,927
2013,2105,484
2013,2106,891
2013,2201,865
2013,2202,418
2013,2203,355
2013,2204,723
2013,2205,667
2013,2301,842
2013,2302,494
2013,2303,824
2013,2401,872
2013,2402,991
2013,2403,1025
2013,2404,714
2013,2405,259
2013,2406,583
2013,2407,159
2013,2501,1101
2013,2502,408
2013,2503,776
2013,2504,817
2013,2601,961
2013,2602,1234
2013,2701,550
2013,2702,649
2013,2703,1014
2013,2704,679
2013,2705,681
2013,2801,870
2013,2802,626
2013,2803,971
2013,2804,923
2013,2901,1072
2013,2902,499
2013,2903,621
2013,2904,1343
2013,3001,253
2013,3002,239
2013,3003,626
2013,3004,522
2013,3005,534
2013,3006,507
2013,3101,979
2013,3102,378
2013,3103,741
2013,3104,644
2013,3105,462
2013,3201,423
2013,3202,682
2013,3203,670
2013,3204,1066
2013,3205,336
2013,3301,676
2013,3302,882
2013,3303,604
2013,3304,1011
2013,3305,1104
2013,3401,1076
2013,3402,535
2013,3403,1460
2013,3404,500
2013,3501,489
2013,3502,814
2013,3503,652
2013,3504,1312
2013,3601,948
2013,3602,906
2013,3603,1104
2013,3701,587
2013,3702,786
2013,3703,766
2013,3704,519
2013,3801,531
2013,3802,411
2013,3803,633
2013,3804,834
2013,3901,904
2013,3902,788
2013,3903,1067
2013,3904,850
2013,4001,617
2013,4002,1141
2013,4003,540
2013,4101,744
2013,4102,1435
2013,4103,572
2013,4201,823
2013,4202,529
2013,4203,650
2013,4204,541
2014,0101,720
2014,0102,530
2014,0103,630
2014,0104,485
2014,0201,488
2014,0202,764
2014,0203,764
2014,0204,707
2014,0205,639
2014,0206,849
2014,0207,459
2014,0208,703
2014,0301,1066
2014,0302,1184
2014,0303,713
2014,0304,1016
2014,0401,1124
2014,0402,1181
2014,0403,632
