ar,smasvaedi,kyn,aldursflokkur,fjoldi
2011,0902,2,55-59 ára,38
2011,2901,2,55-59 ára,62
2011,3603,1,55-59 ára,69
2013,1701,2,55-59 ára,38
2010,2803,1,55-59 ára,81
2023,0805,1,55-59 ára,34
2021,3304,2,55-59 ára,60
2013,1901,1,55-59 ára,51
2017,2405,1,55-59 ára,21
2017,1004,2,55-59 ára,65
2021,1301,2,55-59 ára,40
2017,3504,1,55-59 ára,88
2015,0303,2,55-59 ára,49
2010,0302,2,55-59 ára,72
2015,1811,1,55-59 ára,58
2020,0704,1,55-59 ára,50
2020,1810,2,55-59 ára,26
2015,3102,1,55-59 ára,23
2022,1810,2,55-59 ára,31
2019,0603,2,55-59 ára,20
2024,4203,2,55-59 ára,44
2015,3304,2,55-59 ára,54
2014,1902,2,55-59 ára,25
2022,0904,2,55-59 ára,45
2019,1503,2,55-59 ára,78
2022,2406,1,55-59 ára,45
2012,3006,2,55-59 ára,25
2021,0802,2,55-59 ára,38
2018,2201,1,55-59 ára,50
2009,0803,2,55-59 ára,74
2012,1901,2,55-59 ára,37
2016,1901,1,55-59 ára,64
2018,2902,2,55-59 ára,39
2022,3102,2,55-59 ára,41
2012,2803,1,55-59 ára,72
2015,1004,1,55-59 ára,78
2015,1809,1,55-59 ára,51
2016,0402,2,55-59 ára,71
2012,2105,1,55-59 ára,12
2011,0403,2,55-59 ára,38
2015,1104,1,55-59 ára,97
2021,1502,1,55-59 ára,75
2019,2407,2,55-59 ára,13
2021,3004,2,55-59 ára,72
2023,0401,1,55-59 ára,64
2017,2701,2,55-59 ára,39
2019,1101,2,55-59 ára,49
2020,0704,2,55-59 ára,66
2018,3603,2,55-59 ára,79
2019,1002,2,55-59 ára,59
2019,2201,2,55-59 ára,56
2016,4204,2,55-59 ára,38
2020,1503,2,55-59 ára,65
2016,0605,1,55-59 ára,41
2020,2004,1,55-59 ára,90
2018,0603,2,55-59 ára,19
2015,0504,1,55-59 ára,28
2016,4203,2,55-59 ára,33
2008,1005,1,55-59 ára,69
2009,2303,2,55-59 ára,61
2023,4001,1,55-59 ára,56
2014,3105,1,55-59 ára,48
2009,1804,1,55-59 ára,32
2009,1801,1,55-59 ára,39
2009,1404,2,55-59 ára,12
2008,0403,1,55-59 ára,36
2021,2302,1,55-59 ára,31
2009,1703,1,55-59 ára,31
2014,2502,2,55-59 ára,31
2020,2503,1,55-59 ára,67
2021,1403,2,55-59 ára,28
2018,0401,1,55-59 ára,52
2016,3401,2,55-59 ára,69
2016,0302,2,55-59 ára,56
2014,1404,1,55-59 ára,26
2016,0803,2,55-59 ára,57
2017,0708,2,55-59 ára,68
2024,0303,1,55-59 ára,109
2020,3001,1,55-59 ára,23
2018,3803,2,55-59 ára,40
2008,1205,2,55-59 ára,41
2012,0902,2,55-59 ára,34
2014,2005,2,55-59 ára,54
2012,1602,2,55-59 ára,39
2023,3801,1,55-59 ára,70
2013,2601,2,55-59 ára,66
2018,1503,2,55-59 ára,81
2008,2008,2,55-59 ára,36
2008,1305,2,55-59 ára,19
2020,2401,2,55-59 ára,73
2013,1805,2,55-59 ára,55
2013,3501,2,55-59 ára,51
2015,1502,1,55-59 ára,50
2010,4001,1,55-59 ára,44
2024,1204,2,55-59 ára,76
2011,2004,2,55-59 ára,78
2013,2201,2,55-59 ára,39
2016,0801,1,55-59 ára,61
2021,0704,2,55-59 ára,60
2022,0504,2,55-59 ára,32
2021,2105,1,55-59 ára,24
2013,1104,1,55-59 ára,80
2022,1303,1,55-59 ára,65
2023,1004,1,55-59 ára,62
2009,0807,2,55-59 ára,48
2020,2701,1,55-59 ára,59
2013,0202,2,55-59 ára,37
2009,0706,1,55-59 ára,77
2011,3202,2,55-59 ára,45
2016,2008,1,55-59 ára,26
2016,0708,1,55-59 ára,51
2013,2106,2,55-59 ára,33
2009,4101,1,55-59 ára,67
2016,0405,1,55-59 ára,80
2012,0202,1,55-59 ára,29
2016,2201,1,55-59 ára,40
2017,0803,1,55-59 ára,50
2012,2504,1,55-59 ára,67
2016,3703,2,55-59 ára,44
2008,0805,1,55-59 ára,54
2013,0707,2,55-59 ára,34
2020,0204,1,55-59 ára,26
2024,0902,2,55-59 ára,49
2023,0202,1,55-59 ára,25
2023,4203,1,55-59 ára,46
2020,1303,2,55-59 ára,51
2009,0301,2,55-59 ára,76
2018,1103,2,55-59 ára,108
2009,3901,1,55-59 ára,54
2022,1004,2,55-59 ára,54
2008,1206,1,55-59 ára,24
2016,3904,1,55-59 ára,54
2024,0803,2,55-59 ára,61
2021,2204,2,55-59 ára,36
2024,3504,1,55-59 ára,76
2012,3903,2,55-59 ára,45
2015,2105,1,55-59 ára,20
2009,2202,1,55-59 ára,6
2021,1809,2,55-59 ára,40
2017,0806,2,55-59 ára,60
2014,1801,2,55-59 ára,48
2010,3902,1,55-59 ára,40
2024,2803,2,55-59 ára,100
2014,3401,1,55-59 ára,88
2018,1004,2,55-59 ára,71
2023,1501,1,55-59 ára,58
2009,0904,1,55-59 ára,64
2017,3901,2,55-59 ára,64
2011,3205,1,55-59 ára,18
2021,0702,1,55-59 ára,36
2021,1404,1,55-59 ára,23
2010,0207,1,55-59 ára,19
2019,3006,1,55-59 ára,41
2020,1701,2,55-59 ára,64
2024,2302,2,55-59 ára,25
2021,1903,1,55-59 ára,29
2009,0503,1,55-59 ára,31
2016,0304,2,55-59 ára,74
2023,4103,2,55-59 ára,49
2022,3401,1,55-59 ára,78
2023,3005,1,55-59 ára,46
2018,4102,2,55-59 ára,75
2011,3004,2,55-59 ára,18
2015,2102,1,55-59 ára,20
2019,3401,1,55-59 ára,70
2019,0301,1,55-59 ára,56
2020,0903,1,55-59 ára,38
2014,0602,1,55-59 ára,51
2016,2007,1,55-59 ára,76
2024,2503,1,55-59 ára,50
2022,1805,1,55-59 ára,53
2016,3204,1,55-59 ára,77
2016,2901,1,55-59 ára,74
2018,2303,1,55-59 ára,50
2011,1805,2,55-59 ára,55
2014,4202,2,55-59 ára,19
2021,2202,2,55-59 ára,41
2010,2004,1,55-59 ára,86
2013,2504,2,55-59 ára,55
2023,1301,1,55-59 ára,38
2019,2302,1,55-59 ára,36
2012,2705,1,55-59 ára,41
2012,0804,1,55-59 ára,47
2015,0401,2,55-59 ára,62
2012,1303,1,55-59 ára,35
2019,0504,1,55-59 ára,34
2013,3404,2,55-59 ára,41
2013,3105,2,55-59 ára,32
2014,2104,1,55-59 ára,32
2008,1103,2,55-59 ára,77
2009,3305,1,55-59 ára,52
2015,1809,2,55-59 ára,49
2017,0904,2,55-59 ára,48
2018,2407,2,55-59 ára,10
2012,0504,2,55-59 ára,35
2017,3804,2,55-59 ára,49
2019,0605,1,55-59 ára,53
2022,1502,2,55-59 ára,83
2011,2203,2,55-59 ára,8
2011,3103,1,55-59 ára,47
2016,4201,1,55-59 ára,48
2022,2406,2,55-59 ára,49
2017,1701,1,55-59 ára,48
2024,0501,1,55-59 ára,82
2011,0805,1,55-59 ára,41
2024,1003,2,55-59 ára,88
2024,2702,1,55-59 ára,62
2015,4003,2,55-59 ára,55
2021,1303,2,55-59 ára,53
2020,2502,2,55-59 ára,31
2011,2004,1,55-59 ára,83
2008,0302,2,55-59 ára,67
2021,1602,1,55-59 ára,65
2011,0208,1,55-59 ára,38
2011,2007,2,55-59 ára,63
2013,2101,1,55-59 ára,61
2024,2204,2,55-59 ára,35
2008,2102,2,55-59 ára,8
2020,1104,2,55-59 ára,84
2008,2802,2,55-59 ára,40
2024,2401,2,55-59 ára,69
2010,3502,1,55-59 ára,76
2022,0706,2,55-59 ára,98
2008,3803,1,55-59 ára,49
2008,0101,2,55-59 ára,27
2010,3204,1,55-59 ára,70
2009,0904,2,55-59 ára,56
2009,0402,1,55-59 ára,40
2017,0706,2,55-59 ára,68
2019,3105,2,55-59 ára,40
2024,1902,1,55-59 ára,23
2011,3201,1,55-59 ára,28
2015,2002,1,55-59 ára,20
2024,0701,1,55-59 ára,62
2014,1503,1,55-59 ára,76
2020,1804,2,55-59 ára,41
2009,2704,1,55-59 ára,26
2009,0706,2,55-59 ára,67
2019,1205,2,55-59 ára,39
2015,0603,2,55-59 ára,23
2010,0405,2,55-59 ára,55
2015,4001,1,55-59 ára,51
2009,1702,2,55-59 ára,37
2019,2503,1,55-59 ára,70
2024,0206,1,55-59 ára,45
2020,4204,1,55-59 ára,46
2023,3003,2,55-59 ára,38
2023,3304,2,55-59 ára,64
2009,3603,1,55-59 ára,61
2010,3803,1,55-59 ára,45
2009,2702,2,55-59 ára,36
2016,2204,2,55-59 ára,33
2014,0401,1,55-59 ára,51
2017,2405,2,55-59 ára,18
2013,4201,2,55-59 ára,39
2014,1806,2,55-59 ára,28
2017,0803,2,55-59 ára,57
2009,0803,1,55-59 ára,63
2022,0701,1,55-59 ára,52
2011,2005,2,55-59 ára,59
2015,1401,1,55-59 ára,27
2010,1801,2,55-59 ára,32
2022,2005,2,55-59 ára,62
2019,0401,1,55-59 ára,61
2017,0807,2,55-59 ára,52
2008,1602,2,55-59 ára,54
2013,0101,2,55-59 ára,33
2021,1704,2,55-59 ára,55
2010,1404,1,55-59 ára,21
2021,1603,2,55-59 ára,110
2017,2404,1,55-59 ára,62
2010,3005,2,55-59 ára,30
2015,2105,2,55-59 ára,31
2008,2302,1,55-59 ára,44
2016,3803,2,55-59 ára,39
2017,2804,1,55-59 ára,75
2017,2106,2,55-59 ára,40
2017,3601,2,55-59 ára,88
2019,2005,1,55-59 ára,54
2024,3103,1,55-59 ára,52
2020,2003,2,55-59 ára,54
2017,3005,1,55-59 ára,37
2014,2803,2,55-59 ára,71
2011,3701,1,55-59 ára,41
2011,0104,1,55-59 ára,23
2008,2102,1,55-59 ára,9
2012,0601,1,55-59 ára,55
2016,2201,2,55-59 ára,50
2014,3804,2,55-59 ára,42
2020,2105,1,55-59 ára,27
2008,4003,1,55-59 ára,41
2016,1705,1,55-59 ára,51
2008,4203,2,55-59 ára,29
2024,3602,2,55-59 ára,61
2012,2901,2,55-59 ára,72
2024,2801,2,55-59 ára,82
2022,1305,1,55-59 ára,44
2024,2401,1,55-59 ára,83
2018,2704,1,55-59 ára,52
2021,0103,2,55-59 ára,26
2011,0806,2,55-59 ára,55
2017,4001,2,55-59 ára,47
2022,3903,2,55-59 ára,58
2011,3102,2,55-59 ára,16
2012,3603,1,55-59 ára,74
2008,2105,1,55-59 ára,22
2012,2701,1,55-59 ára,51
2014,2001,2,55-59 ára,59
2022,2802,2,55-59 ára,59
2020,1006,1,55-59 ára,52
2018,1501,1,55-59 ára,62
2014,2204,1,55-59 ára,30
2008,1804,2,55-59 ára,23
2008,1703,1,55-59 ára,28
2020,3104,1,55-59 ára,48
2011,0103,2,55-59 ára,42
2024,0101,1,55-59 ára,33
2013,1702,1,55-59 ára,31
2020,3703,1,55-59 ára,60
2012,1808,2,55-59 ára,76
2012,1002,1,55-59 ára,42
2009,1004,1,55-59 ára,53
2017,1205,2,55-59 ára,35
2024,2407,1,55-59 ára,47
2020,1103,1,55-59 ára,73
2016,3702,2,55-59 ára,44
2016,1401,2,55-59 ára,34
2010,3304,2,55-59 ára,45
2012,2006,2,55-59 ára,66
2008,2101,1,55-59 ára,51
2018,4201,2,55-59 ára,59
2012,3702,1,55-59 ára,51
2019,3904,2,55-59 ára,58
2015,1504,1,55-59 ára,63
2015,1802,1,55-59 ára,34
2019,2704,2,55-59 ára,59
2010,1603,2,55-59 ára,75
2016,2804,1,55-59 ára,70
2013,1206,2,55-59 ára,29
2020,4003,1,55-59 ára,48
2023,3004,1,55-59 ára,74
2012,2401,2,55-59 ára,48
2019,4204,2,55-59 ára,43
2020,1801,2,55-59 ára,38
2023,4201,2,55-59 ára,44
2020,0501,1,55-59 ára,100
2010,1104,2,55-59 ára,59
2014,2502,1,55-59 ára,31
2015,0904,1,55-59 ára,44
2010,3003,2,55-59 ára,37
2016,1808,2,55-59 ára,69
2023,3003,1,55-59 ára,52
2018,1806,2,55-59 ára,31
2013,3201,1,55-59 ára,40
2016,4001,1,55-59 ára,50
2017,1809,2,55-59 ára,44
2013,3802,1,55-59 ára,23
2010,3304,1,55-59 ára,63
2010,2101,2,55-59 ára,52
2021,3403,1,55-59 ára,94
2010,4102,2,55-59 ára,74
2015,1904,2,55-59 ára,52
2014,0703,1,55-59 ára,43
2017,1103,1,55-59 ára,99
2020,0206,2,55-59 ára,40
2008,3804,1,55-59 ára,31
2012,2601,2,55-59 ára,64
2021,2005,1,55-59 ára,46
2013,3202,1,55-59 ára,41
2012,3101,2,55-59 ára,36
2023,1403,2,55-59 ára,28
2015,1806,2,55-59 ára,21
2008,1201,2,55-59 ára,30
2020,0201,1,55-59 ára,27
2016,3301,2,55-59 ára,49
2022,3504,2,55-59 ára,80
2020,0102,2,55-59 ára,26
2009,3801,1,55-59 ára,26
2016,3601,2,55-59 ára,74
2008,4002,1,55-59 ára,60
2011,0304,1,55-59 ára,51
2015,1701,1,55-59 ára,39
2018,1811,1,55-59 ára,68
2023,1501,2,55-59 ára,56
2008,1802,2,55-59 ára,24
2016,2901,2,55-59 ára,75
2024,3702,2,55-59 ára,46
2015,2005,1,55-59 ára,51
2008,2904,1,55-59 ára,82
2016,3904,2,55-59 ára,65
2009,1002,1,55-59 ára,26
2015,1806,1,55-59 ára,25
2018,1202,1,55-59 ára,80
2018,2103,2,55-59 ára,39
2020,0103,2,55-59 ára,28
2008,3202,2,55-59 ára,41
2010,1904,2,55-59 ára,68
2014,2705,2,55-59 ára,45
2023,4102,2,55-59 ára,98
2008,1701,2,55-59 ára,15
2015,0706,1,55-59 ára,67
2023,3301,1,55-59 ára,52
2024,3301,1,55-59 ára,44
2016,0604,2,55-59 ára,43
2016,2407,2,55-59 ára,4
2011,2804,2,55-59 ára,52
2020,3104,2,55-59 ára,48
2018,0202,2,55-59 ára,31
2019,2406,1,55-59 ára,40
2010,4202,1,55-59 ára,39
2024,1205,1,55-59 ára,65
2010,2405,2,55-59 ára,14
2011,0905,1,55-59 ára,38
2014,0202,2,55-59 ára,40
2023,2102,2,55-59 ára,35
2008,0402,1,55-59 ára,42
2023,3104,1,55-59 ára,50
2020,2704,2,55-59 ára,60
2017,1804,2,55-59 ára,45
2014,3403,2,55-59 ára,97
2019,0503,2,55-59 ára,33
2017,2902,1,55-59 ára,42
2015,2904,2,55-59 ára,100
2015,2401,1,55-59 ára,74
2017,0401,2,55-59 ára,60
2015,1810,1,55-59 ára,30
2018,3901,2,55-59 ára,61
2023,3503,1,55-59 ára,56
2010,3103,2,55-59 ára,42
2024,2804,2,55-59 ára,80
2016,3304,1,55-59 ára,53
2015,3901,2,55-59 ára,68
2024,2407,2,55-59 ára,37
2017,2007,1,55-59 ára,83
2010,1502,2,55-59 ára,58
2021,2903,2,55-59 ára,63
2016,2705,2,55-59 ára,49
2015,3504,2,55-59 ára,76
2024,3104,2,55-59 ára,42
2009,2501,1,55-59 ára,69
2020,0301,1,55-59 ára,54
2019,3902,1,55-59 ára,36
2021,1403,1,55-59 ára,23
2009,0502,2,55-59 ára,27
2017,1804,1,55-59 ára,44
2010,2904,2,55-59 ára,78
2023,0403,1,55-59 ára,34
2013,1205,2,55-59 ára,36
2014,0802,1,55-59 ára,37
2024,3304,2,55-59 ára,60
2012,1301,2,55-59 ára,64
2016,2405,1,55-59 ára,21
2012,2804,2,55-59 ára,49
2022,4002,2,55-59 ára,76
2009,1809,1,55-59 ára,27
2021,2007,2,55-59 ára,58
2012,2303,1,55-59 ára,64
2015,3402,2,55-59 ára,43
2013,4204,2,55-59 ára,31
2010,2803,2,55-59 ára,70
2010,1501,1,55-59 ára,61
2019,0302,2,55-59 ára,65
2009,2205,2,55-59 ára,37
2013,1005,2,55-59 ára,81
2022,0707,2,55-59 ára,27
2010,2404,2,55-59 ára,28
2012,1807,2,55-59 ára,48
2012,0905,1,55-59 ára,43
2018,1603,1,55-59 ára,107
2010,0903,1,55-59 ára,42
2008,1203,2,55-59 ára,26
2009,3303,2,55-59 ára,51
2012,3602,2,55-59 ára,48
2021,1603,1,55-59 ára,93
2023,1301,2,55-59 ára,46
2015,0503,2,55-59 ára,40
2021,0207,1,55-59 ára,24
2024,0205,2,55-59 ára,28
2012,3501,2,55-59 ára,50
2021,2004,2,55-59 ára,101
2021,3305,1,55-59 ára,75
2010,1103,2,55-59 ára,96
2017,2702,2,55-59 ára,32
2011,0605,2,55-59 ára,34
2023,1801,1,55-59 ára,47
2010,2303,1,55-59 ára,63
2010,2801,1,55-59 ára,47
2012,1005,1,55-59 ára,71
2009,2007,2,55-59 ára,48
2014,2804,1,55-59 ára,59
2011,2901,1,55-59 ára,61
2020,1301,1,55-59 ára,38
2023,2301,2,55-59 ára,46
2017,2404,2,55-59 ára,56
2021,1805,2,55-59 ára,50
2023,1005,2,55-59 ára,45
2021,2002,2,55-59 ára,25
2014,0504,1,55-59 ára,30
2022,1402,2,55-59 ára,32
2013,2802,1,55-59 ára,57
2008,1504,1,55-59 ára,40
2008,2405,1,55-59 ára,10
2010,1502,1,55-59 ára,40
2014,1003,1,55-59 ára,94
2012,3601,1,55-59 ára,71
2018,0204,1,55-59 ára,28
2019,2802,2,55-59 ára,43
2022,0805,1,55-59 ára,36
2014,3001,1,55-59 ára,13
2014,4001,1,55-59 ára,56
2012,2601,1,55-59 ára,62
2014,2704,1,55-59 ára,38
2019,0301,2,55-59 ára,69
2010,3504,2,55-59 ára,70
2019,0203,1,55-59 ára,46
2014,1004,1,60-64 ára,45
2008,1601,1,60-64 ára,7
2020,0202,2,60-64 ára,31
2023,0101,2,60-64 ára,26
2022,1103,2,60-64 ára,103
2012,2102,1,60-64 ára,8
2024,2002,2,60-64 ára,21
2014,3901,2,60-64 ára,39
2021,1205,1,60-64 ára,40
2013,2904,2,60-64 ára,69
2017,2006,2,60-64 ára,60
2012,3901,2,60-64 ára,40
2020,1701,1,60-64 ára,58
2013,2803,2,60-64 ára,66
2013,1003,2,60-64 ára,59
2020,1704,2,60-64 ára,43
2017,2102,1,60-64 ára,11
2018,3302,1,60-64 ára,57
2014,1902,1,60-64 ára,14
2023,1202,2,60-64 ára,76
2014,3302,1,60-64 ára,57
2014,3803,1,60-64 ára,50
2017,0605,2,60-64 ára,43
2018,1302,1,60-64 ára,39
2020,1103,1,60-64 ára,85
2023,0801,1,60-64 ára,53
2019,1801,2,60-64 ára,48
2011,0202,1,60-64 ára,19
2024,1903,2,60-64 ára,25
2009,3701,1,60-64 ára,32
2020,4001,2,60-64 ára,38
2012,0206,2,60-64 ára,69
2022,3401,1,60-64 ára,81
2011,3103,1,60-64 ára,47
2009,1503,2,60-64 ára,39
2014,3403,2,60-64 ára,61
2008,3804,1,60-64 ára,42
2011,1006,2,60-64 ára,37
2014,1901,2,60-64 ára,34
2013,1804,2,60-64 ára,23
2013,0401,2,60-64 ára,54
2022,1706,2,60-64 ára,53
2020,1503,2,60-64 ára,60
2024,2705,2,60-64 ára,73
2011,1805,2,60-64 ára,73
2011,3903,2,60-64 ára,34
2022,2105,1,60-64 ára,24
2016,0905,2,60-64 ára,24
2017,3102,2,60-64 ára,28
2023,1003,1,60-64 ára,109
2018,1802,2,60-64 ára,34
2013,3101,2,60-64 ára,47
2015,1808,2,60-64 ára,69
2024,3803,1,60-64 ára,36
2020,1706,2,60-64 ára,52
2009,3005,2,60-64 ára,31
2012,3005,1,60-64 ára,28
2015,1810,1,60-64 ára,36
2014,2204,1,60-64 ára,22
2014,0405,2,60-64 ára,46
2018,2003,2,60-64 ára,75
2015,2405,2,60-64 ára,15
2024,2701,1,60-64 ára,65
2017,0804,2,60-64 ára,61
2022,0603,2,60-64 ára,16
2011,2405,1,60-64 ára,11
2015,1806,1,60-64 ára,17
2016,4203,2,60-64 ára,24
2024,4101,1,60-64 ára,56
2013,1603,2,60-64 ára,58
2012,1703,1,60-64 ára,22
2016,2201,2,60-64 ára,50
2012,1904,2,60-64 ára,52
2013,0102,1,60-64 ára,28
2023,0701,1,60-64 ára,82
2023,0706,2,60-64 ára,62
2008,2301,1,60-64 ára,39
2021,1204,2,60-64 ára,53
2023,0704,1,60-64 ára,44
2021,2007,1,60-64 ára,65
2019,2405,1,60-64 ára,25
2020,3101,2,60-64 ára,46
2012,3901,1,60-64 ára,39
2016,4001,1,60-64 ára,42
2020,1205,2,60-64 ára,42
2015,3804,2,60-64 ára,47
2016,0804,2,60-64 ára,73
2023,1811,1,60-64 ára,51
2011,1404,1,60-64 ára,14
2024,0503,2,60-64 ára,53
2009,1101,1,60-64 ára,23
2016,3601,2,60-64 ára,55
2008,2106,2,60-64 ára,64
2012,0708,2,60-64 ára,40
2015,2704,2,60-64 ára,34
2023,0208,1,60-64 ára,42
2022,0807,1,60-64 ára,40
2022,3902,2,60-64 ára,44
2022,0701,2,60-64 ára,117
2019,1902,1,60-64 ára,38
2020,4001,1,60-64 ára,51
2023,2407,1,60-64 ára,20
2020,1601,1,60-64 ára,29
2012,0802,1,60-64 ára,28
2023,4002,2,60-64 ára,70
2019,3202,1,60-64 ára,40
2013,1304,2,60-64 ára,8
2013,4202,1,60-64 ára,26
2019,0401,1,60-64 ára,44
2020,2204,2,60-64 ára,34
2017,3704,1,60-64 ára,30
2019,0603,1,60-64 ára,27
2013,3102,2,60-64 ára,23
2008,3704,2,60-64 ára,28
2015,3003,2,60-64 ára,35
2008,2201,1,60-64 ára,21
2008,2402,1,60-64 ára,45
2017,3301,2,60-64 ára,55
2008,0902,1,60-64 ára,66
2011,3101,2,60-64 ára,35
2021,3502,2,60-64 ára,49
2008,3802,1,60-64 ára,17
2008,1402,1,60-64 ára,2
2022,3006,2,60-64 ára,52
2008,4203,2,60-64 ára,16
2017,0301,2,60-64 ára,65
2013,2601,1,60-64 ára,52
2015,2203,1,60-64 ára,13
2021,2705,1,60-64 ára,54
2016,3901,2,60-64 ára,55
2010,1503,2,60-64 ára,46
2020,2303,1,60-64 ára,43
2009,1004,1,60-64 ára,49
2010,3003,1,60-64 ára,21
2018,3305,1,60-64 ára,70
2024,1304,1,60-64 ára,41
2023,1401,2,60-64 ára,41
2010,2802,1,60-64 ára,40
2008,2702,2,60-64 ára,58
2018,0804,2,60-64 ára,57
2023,0705,1,60-64 ára,56
2023,3801,2,60-64 ára,85
2011,1504,1,60-64 ára,40
2015,2106,1,60-64 ára,24
2018,1807,1,60-64 ára,44
2021,0901,1,60-64 ára,50
2013,2302,1,60-64 ára,43
2009,2402,1,60-64 ára,39
2013,0204,2,60-64 ára,34
2012,1503,2,60-64 ára,47
2009,2502,1,60-64 ára,33
2015,1903,2,60-64 ára,28
2010,0903,1,60-64 ára,41
2021,0903,2,60-64 ára,36
2022,4103,2,60-64 ára,45
2014,1203,2,60-64 ára,22
2012,1809,2,60-64 ára,31
2018,1004,1,60-64 ára,49
2009,1701,1,60-64 ára,21
2011,3403,2,60-64 ára,67
2019,0501,1,60-64 ára,90
2018,3901,2,60-64 ára,64
2015,3704,2,60-64 ára,22
2015,1301,1,60-64 ára,53
2014,0201,1,60-64 ára,20
2013,0402,2,60-64 ára,56
2015,2405,1,60-64 ára,10
2020,2804,1,60-64 ára,62
2015,2503,2,60-64 ára,49
2011,3803,2,60-64 ára,40
2022,3303,1,60-64 ára,57
2017,1404,1,60-64 ára,24
2015,3301,2,60-64 ára,42
2016,2406,1,60-64 ára,33
2017,2803,2,60-64 ára,85
2015,2501,2,60-64 ára,77
2022,0304,1,60-64 ára,70
2024,3403,1,60-64 ára,100
2011,3703,2,60-64 ára,55
2013,2101,1,60-64 ára,42
2011,1302,1,60-64 ára,43
2023,2006,1,60-64 ára,58
2010,1810,2,60-64 ára,28
2009,1006,2,60-64 ára,34
2023,1802,2,60-64 ára,36
2018,2002,1,60-64 ára,26
2013,2003,2,60-64 ára,40
2018,3403,2,60-64 ára,86
2019,0302,1,60-64 ára,63
2009,2303,1,60-64 ára,43
2014,3703,2,60-64 ára,55
2020,1404,2,60-64 ára,28
2023,4101,1,60-64 ára,55
2012,3204,2,60-64 ára,49
2019,0602,1,60-64 ára,41
2017,2901,1,60-64 ára,50
2024,2102,2,60-64 ára,42
2018,1603,2,60-64 ára,98
2014,0102,2,60-64 ára,24
2019,1809,2,60-64 ára,44
2013,0701,1,60-64 ára,72
2024,2504,2,60-64 ára,80
2016,3602,2,60-64 ára,49
2017,1305,2,60-64 ára,26
2009,0504,1,60-64 ára,16
2009,0801,1,60-64 ára,46
2015,0901,2,60-64 ára,82
2023,0103,1,60-64 ára,32
2018,1404,2,60-64 ára,22
2017,1811,2,60-64 ára,39
2009,4101,1,60-64 ára,48
2014,2302,1,60-64 ára,43
2010,1102,1,60-64 ára,87
2016,3903,1,60-64 ára,47
2023,0904,2,60-64 ára,34
2019,3404,1,60-64 ára,38
2010,2404,2,60-64 ára,30
2018,3803,1,60-64 ára,45
2009,4001,2,60-64 ára,30
2022,2201,1,60-64 ára,38
2011,3301,2,60-64 ára,26
2017,1602,2,60-64 ára,38
2010,1304,2,60-64 ára,1
2015,1602,2,60-64 ára,42
2012,0208,1,60-64 ára,41
2013,0503,1,60-64 ára,34
2008,3602,2,60-64 ára,33
2014,1804,1,60-64 ára,35
2016,3802,2,60-64 ára,23
2018,1804,1,60-64 ára,34
2009,4204,1,60-64 ára,35
2016,0207,2,60-64 ára,22
2017,1807,2,60-64 ára,44
2012,0503,2,60-64 ára,27
2018,1205,2,60-64 ára,42
2014,0202,2,60-64 ára,22
2019,0204,2,60-64 ára,42
2019,2502,2,60-64 ára,33
2018,0902,1,60-64 ára,41
2024,1402,2,60-64 ára,25
2023,1801,2,60-64 ára,34
2018,4101,1,60-64 ára,66
2014,1504,2,60-64 ára,40
2019,2303,1,60-64 ára,47
2019,3404,2,60-64 ára,39
2008,1201,1,60-64 ára,39
2011,0402,2,60-64 ára,41
2021,0401,1,60-64 ára,41
2023,0806,2,60-64 ára,55
2014,1202,2,60-64 ára,42
2018,1603,1,60-64 ára,100
2022,3801,2,60-64 ára,70
2024,3103,1,60-64 ára,60
2014,2407,1,60-64 ára,2
2019,0804,1,60-64 ára,60
2020,2803,1,60-64 ára,92
2010,3101,1,60-64 ára,39
2018,1803,2,60-64 ára,34
2014,3801,1,60-64 ára,31
2008,3904,1,60-64 ára,39
2020,1903,2,60-64 ára,47
2022,1205,1,60-64 ára,45
2017,2704,1,60-64 ára,31
2017,0705,1,60-64 ára,45
2021,0902,1,60-64 ára,49
2008,3004,1,60-64 ára,10
2020,0208,1,60-64 ára,45
2014,1807,1,60-64 ára,36
2016,3004,1,60-64 ára,19
2021,0801,2,60-64 ára,52
2017,0901,2,60-64 ára,55
2013,0901,2,60-64 ára,92
2021,0104,2,60-64 ára,24
2008,2102,2,60-64 ára,22
2018,2103,2,60-64 ára,53
2011,1002,2,60-64 ára,35
2014,1006,2,60-64 ára,42
2020,0804,1,60-64 ára,65
2018,1704,1,60-64 ára,43
2010,3601,2,60-64 ára,50
2010,0702,2,60-64 ára,30
2017,4101,2,60-64 ára,41
2024,0605,2,60-64 ára,39
2008,4003,2,60-64 ára,22
2021,2204,2,60-64 ára,40
2009,3305,1,60-64 ára,49
2011,0703,2,60-64 ára,28
2015,4204,1,60-64 ára,44
2009,0903,2,60-64 ára,46
2017,3802,1,60-64 ára,40
2022,2602,2,60-64 ára,89
2018,3205,1,60-64 ára,19
2010,3203,1,60-64 ára,38
2009,3703,2,60-64 ára,50
2010,1202,1,60-64 ára,33
2017,2102,2,60-64 ára,14
2018,1203,2,60-64 ára,26
2018,2101,1,60-64 ára,58
2020,1702,2,60-64 ára,28
2008,0207,1,60-64 ára,17
2008,1903,2,60-64 ára,14
2010,0806,1,60-64 ára,69
2008,0303,2,60-64 ára,29
2015,1004,2,60-64 ára,47
2012,2403,1,60-64 ára,54
2011,1501,1,60-64 ára,39
