Sveitarfélag,Tegundlóða,Lóðasvæði,Staða,Athugasemdir,Smásvæði,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,Samtals
Reykjavíkurborg,Fjölbýli,Laugardalur - Suðurlandsbraut,Þróunar- og framtíðarsvæði,Þróunarreitur,,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Reykjavíkurborg,Fjölbýli,Sjómannaskólareitur,Byggingarhæf lóð,Þróunarreitur,18.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði I - Krossamýrartorg - Breiðhöfði (Lóð 3 - Klasi),Byggingarhæf lóð,-,186.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði I - Krossamýrartorg - Lóð 10a,Samþykkt deiliskipulag,Óbyggingarhæf lóð - innviðir,186.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði I - Krossamýrartorg - Lóð 10b og 10c,Þróunar- og framtíðarsvæði,Þróunarsvæði,186.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,200.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði I - Krossamýrartorg - Stálhöfði 2,Byggingarhæf lóð,-,186.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0
Reykjavíkurborg,Fjölbýli,Breiðholt - Jórufell,Þróunar- og framtíðarsvæði,Þróunarreitur,37.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Reykjavíkurborg,Fjölbýli,Orkureitur,Byggingarhæf lóð,Uppbygging hafin,34.0,0.0,133.0,106.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0
Reykjavíkurborg,Fjölbýli,Vogabyggð III,Byggingarhæf lóð,Atvinnuhúsnæði í íbúðir,26.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,150.0
Reykjavíkurborg,Einbýli,Úlfarsárdalur - Gerðarbrunnur 9,Byggingarhæf lóð,Í byggingu,192.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Reykjavíkurborg,Fjölbýli,Grafarvogur,Þróunar- og framtíðarsvæði,"Hluti er í skipulagsferli - forvinna, annað í hverfisskipulagi",,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,200.0
Reykjavíkurborg,Fjölbýli,Kringlan - I,Þróunar- og framtíðarsvæði,Deiliskipulag - forvinna,,0.0,0.0,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0
Reykjavíkurborg,Fjölbýli,Laugardalur - Lögreglureitur,Þróunar- og framtíðarsvæði,Ríkið - björgunarmiðstöð,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,30.0,100.0
Reykjavíkurborg,Fjölbýli,Miðborg - Egilsgata 5,Þróunar- og framtíðarsvæði,Skipulagsferli - forvinna,,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Reykjavíkurborg,Fjölbýli,Miðborg - Skúlagata 30,Byggingarhæf lóð,Í byggingu,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Reykjavíkurborg,Fjölbýli,Skeifan,Þróunar- og framtíðarsvæði,Þróunarsvæði,,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,500.0
